Province,Centres,Zones,Neighbourhood,Dwelling Type ,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Rent ID
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,0.0,783.0,943.0,0.0,1166.0,2018,centre1,Zone1,Rent_1
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,664.0,829.0,1049.0,1002.0,941.0,2018,centre1,Zone1,Rent_2
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,0.0,0.0,743.0,0.0,576.0,2018,centre1,Zone2,Rent_3
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,762.0,773.0,881.0,959.0,839.0,2018,centre1,Zone2,Rent_4
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,0.0,0.0,0.0,0.0,0.0,2018,centre1,Zone3,Rent_5
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,0.0,720.0,715.0,677.0,709.0,2018,centre1,Zone3,Rent_6
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,Rent_7
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,978.0,1202.0,1774.0,2099.0,1436.0,2018,centre2,Zone4,Rent_8
N.S.,Halifax,Peninsula South,South End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,Rent_9
N.S.,Halifax,Peninsula South,South End,Apt & Other,856.0,1120.0,1515.0,1852.0,1197.0,2018,centre2,Zone4,Rent_10
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone4,Rent_11
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,757.0,963.0,1395.0,1722.0,1210.0,2018,centre2,Zone4,Rent_12
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone5,Rent_13
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,752.0,916.0,1144.0,1478.0,1060.0,2018,centre2,Zone5,Rent_14
N.S.,Halifax,Peninsula North,North End,Row,0.0,0.0,0.0,0.0,0.0,2018,centre2,Zone5,Rent_15
N.S.,Halifax,Peninsula North,North End,Apt & Other,814.0,982.0,1216.0,1194.0,1109.0,2018,centre2,Zone5,Rent_16
N.S.,Halifax,Mainland South,Armdale,Row,0.0,0.0,0.0,1570.0,1570.0,2018,centre2,Zone6,Rent_17
